commodity,trend_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_overextended_rate,hist_duration_reliability,survival_sample_reliability
FG,UP,RISK,3,192,36,0.1875,0.8125,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,RISK,5,192,84,0.4375,0.5625,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,RISK,10,192,149,0.7760416666666666,0.22395833333333337,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,RISK,20,192,192,1.0,0.0,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,NO_RISK,1,483,103,0.21325051759834368,0.7867494824016563,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,NO_RISK,2,483,187,0.38716356107660455,0.6128364389233955,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,NO_RISK,3,483,245,0.5072463768115942,0.49275362318840576,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,NO_RISK,5,483,337,0.6977225672877847,0.3022774327122153,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,NO_RISK,10,483,430,0.8902691511387164,0.10973084886128359,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,NO_RISK,20,483,473,0.979296066252588,0.020703933747411973,103,103,0.4174757281553398,HIGH,HIGH
FG,DOWN,RISK,1,131,2,0.015267175572519083,0.9847328244274809,101,100,0.37623762376237624,HIGH,HIGH
