ma_window,version,activity_bucket,return_col,n_obs,mean_daily,mean_ann,vol_daily,vol_ann,sharpe,t_stat,min_daily,max_daily,max_drawdown
10,long_short,High,net_map_vs_zero,1966,0.00016597534576835265,0.04182578713362487,0.01844215446430084,0.29276012611667784,0.14286708947841978,0.3990466632088442,-0.08698656123136006,0.12087907592175601,-0.5896598259866551
20,long_flat,Low,gross_strategy_return,1979,0.00022198853395515855,0.05594111055669995,0.011221876964150033,0.17814177414303287,0.31402578550600907,0.8800106687938145,-0.08630587484993457,0.06738578945102063,-0.32960498862887666
20,long_flat,Low,net_strategy_return,1979,0.00021424983716264657,0.053990958964986936,0.011218051140561805,0.17808104107638614,0.3031819593969469,0.849622455128039,-0.08630587484993457,0.06721912278435395,-0.33083933232221974
20,long_flat,Low,passive_return,1979,-1.855153916326675e-05,-0.004674987869143221,0.01605947894351754,0.25493632481895434,-0.01833786484708765,-0.051389145265038697,-0.09455454391431833,0.11445135854247973,-0.704282939523057
20,long_flat,Low,gross_map_vs_passive,1979,0.0002405400731184253,0.06061609842584317,0.011942463914570123,0.18958073735589281,0.31973764461128157,0.8960173064117651,-0.11445135854247973,0.08842304366825987,-0.5683881274425917
20,long_flat,Low,net_map_vs_passive,1979,0.00023280137632591326,0.058665946834130143,0.011940940223458566,0.18955654950935646,0.30949047651468464,0.86730113829392,-0.11445135854247973,0.08817304366825987,-0.5733489410149195
20,long_flat,Low,net_map_vs_zero,1979,0.00021424983716264657,0.053990958964986936,0.011218051140561805,0.17808104107638614,0.3031819593969469,0.849622455128039,-0.08630587484993457,0.06721912278435395,-0.33083933232221974
20,long_flat,Mid,gross_strategy_return,2058,6.795427524053703e-05,0.017124477360615332,0.012827539112758638,0.2036308705518809,0.08409568408858897,0.24032343485188876,-0.10083727702948675,0.09996077945669224,-0.601426212124407
20,long_flat,Mid,net_strategy_return,2058,7.189158145554011e-05,0.018116678526796107,0.012820278464402571,0.20351561133243745,0.08901861831721099,0.2543918912321956,-0.10083727702948675,0.09946077945669224,-0.6011450572788735
20,long_flat,Mid,passive_return,2058,9.191017392821926e-05,0.02316136382991125,0.017675666879898747,0.28059251292859844,0.08254448270259106,0.235890507653897,-0.10723202902857495,0.1204464867919457,-0.6593551736593728
20,long_flat,Mid,gross_map_vs_passive,2058,-2.395589868768227e-05,-0.006036886469295932,0.012325671018646926,0.1956639615440156,-0.03085333866113052,-0.08817075934456403,-0.1204464867919457,0.11306257443838419,-0.4771157732265815
